index,name,isin,url,keyword,sheet
17,AB Euro Corporate Bond Ptf ETF EUR Acc GBP,LU3322521785,https://www.ajbell.co.uk/market-research/LSE:EBND,This share can be held in a Dealing account,ETF
37,Amundi CAC 40 Daily 2x Leveraged ETF Acc EUR,FR0010592014,https://www.ajbell.co.uk/market-research/CHIX:LVCP,,ETF
57,Amundi Core MSCI World ETF Acc USD,IE000BI8OT95,https://www.ajbell.co.uk/market-research/LSE:MWRU,This share can be held in a Dealing account,ETF
77,Amundi Core USD Corp Bd ETF GBP H Dist,LU2621112452,https://www.ajbell.co.uk/market-research/LSE:PRUB,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
97,Amundi EUR Infl Expct 2-10Y ETF Acc GBP,LU1390062245,https://www.ajbell.co.uk/market-research/LSE:INFL,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
117,Amundi Global Qual Inc ETF Acc USD,LU0855692520,https://www.ajbell.co.uk/market-research/LSE:SGQD,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
137,Amundi USD High Yld Corp Bd ESG ETF Dis GBP,LU1435356149,https://www.ajbell.co.uk/market-research/LSE:UHYG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
157,Amundi Global Luxury ETF USD Acc GBP,LU1681048713,https://www.ajbell.co.uk/market-research/LSE:LUXG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
177,Amundi MSCIJpnSRIClmtPrsAlgdETFDRHdgUSDC,LU1646359882,https://www.ajbell.co.uk/market-research/LSE:JPXU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
197,Amundi IS Prime Japan ETF DR USD,LU1931974775,https://www.ajbell.co.uk/market-research/LSE:PRJU,,ETF
217,Amundi MSCI Brazil ETF Acc GBP,LU1900066207,https://www.ajbell.co.uk/market-research/LSE:RIOL,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
237,Amundi MSCI Disruptive Tech ETF Acc CHF,LU2023678282,https://www.ajbell.co.uk/market-research/XSWX:QBIT,,ETF
257,Amundi MSCI EmMktsSRIClmtPrsAlgdETFDRD,LU2059756754,https://www.ajbell.co.uk/market-research/LSE:MSDU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
277,Amundi MSCI Greece ETF Dist EUR,FR0010405431,https://www.ajbell.co.uk/market-research/XETR:LYMH,,ETF
297,Amundi MSCIPacExJpnSRIClmtPrsAlgdETFDR£D,LU2469335298,https://www.ajbell.co.uk/market-research/LSE:MPXG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
317,Amundi MSCI Smart Cities ETF ACC GBP,LU2037748345,https://www.ajbell.co.uk/market-research/LSE:IQCY,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
337,Amundi MSCI Water UCITS ETF Acc EUR,FR0014002CH1,https://www.ajbell.co.uk/market-research/XPAR:WATC,This share can be held in a Dealing account and SIPP,ETF
357,Amundi Nasdaq-100 Daily 2x Lvrgd ETF Acc,FR0010342592,https://www.ajbell.co.uk/market-research/XPAR:LQQ,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
377,Amundi Russell 1000 Growth ETF Acc GBP,IE0005E8B9S4,https://www.ajbell.co.uk/market-research/LSE:MWOT,This share can be held in a Dealing account,ETF
397,Amundi US$ Infl Expct 10Y ETF Acc GBP,LU1390062831,https://www.ajbell.co.uk/market-research/LSE:INFG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
417,Amundi USD CorpBdClmtPrsAlgdETFAcc,LU1285959885,https://www.ajbell.co.uk/market-research/LSE:USIC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
437,Avantis Europe Equity ETF USD Acc GBP,IE000SDFJUU0,https://www.ajbell.co.uk/market-research/LSE:AVUE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
457,BNPP EASY Alpha Enh USD Corp Bd ETF CAP GBP,LU2993397939,https://www.ajbell.co.uk/market-research/LSE:QCGB,This share can be held in a Dealing account,ETF
477,BNP Paribas Easy ESG Enh Wld ETF $ Cap USD,IE000629MKR4,https://www.ajbell.co.uk/market-research/LSE:AWDS,This share can be held in a Dealing account,ETF
497,BNPP EASY MSCI Jpn Min TE ETF £ Cap,LU3125583602,https://www.ajbell.co.uk/market-research/LSE:EJAG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA and JISA",ETF
517,CO Eurizon SLJ EM Bd Strat Inc ETF A$Dis,IE000Y36NRJ2,https://www.ajbell.co.uk/market-research/LSE:EBUD,This share can be held in a Dealing account,ETF
537,CT QR Series Global Eq Act ETF Acc USD,IE000M07S996,https://www.ajbell.co.uk/market-research/LSE:QRGE,This share can be held in a Dealing account,ETF
557,EMQQ Emerging Markets Internet ETFAcc,IE00BFYN8Y92,https://www.ajbell.co.uk/market-research/LSE:EMQQ,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
577,Fidelity EUR HY Corp Bd Rsh EnhPABETFInc USD,IE000HDEYKM3,https://www.ajbell.co.uk/market-research/LSE:FYEI,,ETF
597,Fidelity Glbl HY CorpBdRshEnhPABETFInc$H,IE000B8VAQZ8,https://www.ajbell.co.uk/market-research/LSE:FGHU,,ETF
617,Fidelity US Quality Income ETF GBP H Acc,IE00BYV03C98,https://www.ajbell.co.uk/market-research/LSE:FUSP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
637,FirstTrustBlmbrgGlbSmcndctrSpplyChnETFA$,IE000KXTLDE2,https://www.ajbell.co.uk/market-research/LSE:CHPS,This share can be held in a Dealing account,ETF
